variable_name,variable_label,variable_type,valid_values,pct_non_null,missing_code,source_domain,notes
event_id,Unique Event Identifier,string,,100.0%,Should not be missing,all,Sequential ID (EVT-0001...) assigned during extraction. Stable across re-runs if source data unchanged.
date,Event Date (ISO 8601),date,,100.0%,Should not be missing,all,YYYY-MM-DD. Pre-war oil prices go back to 2026-01-02. Conflict events start 2026-02-28.
datetime_utc,Event Datetime,datetime,,22.6%,Not available — only timeline events have timestamps,timeline-events.json,"YYYY-MM-DDTHH:MM:SS. Times are approximate local time, not true UTC. Events span multiple time zones."
day_of_conflict,Day of Conflict,integer,0 – 170,100.0%,Should not be missing,all,Day 0 = 2026-02-27 (pre-war baseline). Day 1 = 2026-02-28 (first strikes). Max grows each release; v1.2 covers Day 0-170.
event_domain,Event Domain,categorical,CYBER | DIPLOMATIC | FINANCIAL | HUMANITARIAN | MILITARY | NAVAL | OTHER | RETALIATION | STRIKE,100.0%,Should not be missing,all,Primary classification. STRIKE = US/Israeli offensive. RETALIATION = Iranian/proxy response. MILITARY = other military. NAVAL = maritime/fleet. FINANCIAL = economic data. DIPLOMATIC = political/diplomatic. HUMANITARIAN = casualties/damage. CYBER = cyber ops. OTHER = reference/summary.
event_type,Event Type (subcategory),categorical,air | airstrike | alternative_route | amphibious | baseline_metric | carrier | cross_border_strike | cyber | daily_aggregate_snapshot | daily_briefing | daily_casualty_report | daily_war_cost | destroyer | diplomatic | domestic | drone_attack | financial | force_posture | ground | ground_operations | historical_comparison | hormuz_daily_narrative | humanitarian | infrastructure_damage | littoral_combat_ship | maritime_attack | maritime_attack_summary | market_index | military | military_base | mine_countermeasures | missile_attack | naval | oil_price | operational_loss | other | proxy_attack | retaliation | rocket_attack | strait_closure | strategic_geography | submarine | summary | support | tanker_transit | unmanned_surface_vessel,100.0%,Should not be missing,all,"More specific than event_domain. Controlled vocabulary (see valid_values for the full enumerated list). Timeline events carry a normalized type; the verbatim source category is preserved in timeline_category_raw. Key types: airstrike, missile_attack, rocket_attack, drone_attack, proxy_attack, maritime_attack, daily_casualty_report, oil_price, market_index, daily_war_cost, tanker_transit, baseline_metric, daily_aggregate_snapshot."
event_description,Event Description,text,,100.0%,Should not be missing,all,Free-text description. Format varies by source: timeline events = 'title: description'; strikes = 'city: target'; financial = metric summary.
source_file,Source JSON File,categorical,baselines.json | briefings/index.json | carriers.json | casualties.json | global-bases.json | hero-stats.json | historical-comparison.json | hormuz.json | infrastructure.json | markets.json | oil-prices.json | strikes-iran.json | strikes-retaliation.json | timeline-events.json | war-costs.json,100.0%,Should not be missing,all,Which JSON file in public/data/ this row was extracted from.
source_record_id,Source Record ID,string,,32.7%,Not available — source has no record ID,strikes-iran.json; strikes-retaliation.json; carriers.json; briefings/index.json,"Original ID from source data (e.g., 'tehran-leadership', 'cvn-72'). NULL for timeline events, casualties, financial data."
location_name,Location Name,string,,31.7%,Not applicable (non-geographic event),strikes; carriers; hormuz; global-bases,"City, base, or area name. Granularity varies: city-level for strikes, operational area for naval assets."
location_lat,Latitude,float,-7.32 – 52.39,31.6%,Not applicable (non-geographic event),strikes; carriers; hormuz; global-bases,"WGS84 decimal degrees. Precision varies: strike locations ~4 decimal places, naval assets approximate."
location_lon,Longitude,float,-157.9 – 139.7,31.6%,Not applicable (non-geographic event),strikes; carriers; hormuz; global-bases,WGS84 decimal degrees.
country,Country,categorical,Bahrain | Cyprus | Diego Garcia | International Waters | Iran | Iraq | Israel | Jordan | Kuwait | Lebanon | Oman | Qatar | Saudi Arabia | UAE | Unknown,30.6%,Not applicable (non-geographic event),strikes; carriers; hormuz; global-bases,Extracted from city/location names via pattern matching. 'International Waters' for maritime events.
actor_initiating,Initiating Actor,string,,31.0%,Not applicable or not determinable,strikes; retaliation; carriers; global-bases,"Who carried out the action. Values: US, Israel, US/Israel (joint), Hezbollah, Iran, IRGC Navy, various proxy groups, UK, France."
actor_target,Target Actor/Entity,string,,48.4%,Not applicable,strikes; retaliation; casualties,"Who or what was targeted. For casualties, identifies the faction (e.g., 'Iran (military)', 'US (military)')."
weapon_system,Weapon System,string,,13.7%,Not applicable or not recorded,strikes-iran.json; strikes-retaliation.json,"Weapon/munition. From retaliation records throughout; from strike records where a `weapon` field is present (added to strikes-iran after Day 30). Examples: 'Ballistic missiles / cruise missiles / drones', 'M61 Vulcan 20mm cannon', 'Fattah hypersonic'."
military_asset,Military Asset,string,,0.5%,Not applicable (non-naval event),carriers.json,Vessel name and hull number. Example: 'USS Abraham Lincoln (CVN-72)'.
casualties_reported,Casualties Reported,integer,0 – 254,30.3%,Not recorded or not applicable,strikes; retaliation; casualties; hormuz,"Numeric casualty count when parseable, or text description. For daily casualty reports, this is the estimated daily killed for one faction. For strikes, attached to first target only to avoid double-counting."
casualties_civilian,Civilian Casualties,integer,0 – 45,3.7%,Not recorded or not applicable,casualties.json,"Civilian killed count. Populated only for Iranian civilian daily casualty reports. These are daily estimates, not cumulative."
casualties_military,Military Casualties,integer,0 – 148,11.2%,Not recorded or not applicable,casualties.json; historical-comparison.json,"Military killed count. Populated for Iranian military, US military, and Israeli military daily reports. Daily estimates, not cumulative."
infrastructure_target_type,Infrastructure Target Type,categorical,air_defense | civilian | communications | healthcare | military_base | nuclear_facility | oil_infrastructure | power_grid | transportation | water_infrastructure,13.0%,Not applicable (non-strike or non-infrastructure event),strikes-iran.json; infrastructure.json,"Inferred from target descriptions. Values: military_base, civilian, nuclear_facility, oil_infrastructure, air_defense, communications, healthcare, power_grid, transportation, water_infrastructure."
financial_metric_name,Financial Metric Name,string,,22.0%,Not applicable (non-financial event),oil-prices; markets; war-costs; baselines; hormuz,"Name of the financial indicator. Examples: 'Brent Crude', 'S&P 500', 'Daily US War Cost', 'Hormuz Tanker Transits'."
financial_metric_value,Financial Metric Value,float,0 – 4.898e+04,21.9%,Not applicable (non-financial event),oil-prices; markets; war-costs; baselines; hormuz,Numeric value of the financial metric. Units vary — see financial_metric_unit.
financial_metric_unit,Financial Metric Unit,categorical,USD millions | USD trillions | USD/bbl | USD/gallon | USD/oz | USD/share | index (Feb 27 = 100) | index points | million bbl/day | percent | transits/day,22.0%,Not applicable (non-financial event),oil-prices; markets; war-costs; baselines; hormuz,"Unit of measurement. Examples: 'USD/bbl', 'index (Feb 27 = 100)', 'USD millions', 'transits/day'."
escalation_level,Escalation Level,string,,0.0%,Not available — no escalation scoring in source data,N/A,Reserved for future use. Not present in source data. Always NULL.
data_confidence,Data Confidence,categorical,HIGH | LOW | MEDIUM,100.0%,Should not be missing,all,"Assessment of data reliability. HIGH = from structured field with authoritative source. MEDIUM = inferred or from secondary sources. LOW = unverified, imputed, or from Wikipedia."
timeline_source,Timeline Source Attribution,string,,22.8%,Not applicable (non-timeline event),timeline-events.json,"Source attribution from timeline record. Examples: 'DoD / White House', 'CENTCOM / IDF'."
timeline_data_point,Timeline Key Data Point,string,,21.6%,Not applicable or no data point recorded,timeline-events.json,"Quantitative highlight from the timeline event. Example: '3,000+ targets struck in first 72 hours'."
strike_notes,Strike/Source Notes,text,,30.6%,Not applicable (non-strike/naval event),strikes-iran.json; strikes-retaliation.json; infrastructure.json; carriers.json,"Detailed operational notes from source record. Often contains sourcing, context, and cross-references."
strike_verified,Strike Verified,boolean,False | True,10.4%,Not applicable (non-retaliation event),strikes-retaliation.json,Whether the retaliation strike was verified in open-source reporting. True/False. 18 of 227 retaliation locations are unverified (verified=False).
naval_strike_group,Naval Strike Group,string,,0.5%,Not applicable (non-naval event),carriers.json,Strike group or command assignment. Example: 'Carrier Strike Group 3'.
naval_aircraft,Naval Aircraft Complement,text,,0.2%,Not applicable (non-naval event),carriers.json,"Aircraft types embarked. Example: 'F/A-18E/F Super Hornets, F-35C Lightning II'."
naval_escorts,Naval Escort Vessels,text,,0.1%,Not applicable (non-naval event),carriers.json,"Escort vessels listed, semicolon-separated."
